,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,isolate,host,isolation_source,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,source_uvig,virus_enrich_appr,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,collected_by,sequenced_by,BioSampleModel,purpose_of_ww_sampling,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
SRR25665965,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00000_07302023,,,,,,SRR25665965,SRX21391596,,,wastewater,,,,USA: Ohio,,,,12246.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00000_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0020893,utility provided information,bcov vaccine,15705.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,3959540.726,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0020893
SRR25666038,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,1PD00007_07302023,,,,,,SRR25666038,SRX21391523,,,wastewater,,,,USA: Ohio,,,,22000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,1PD00007_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0026930,utility provided information,bcov vaccine,44715.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,5532000.781,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026930
SRR25666059,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,0PD00016601_07302023,,,,,,SRR25666059,SRX21391502,,,wastewater,,,,USA: Ohio,,,,15284.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,0PD00016601_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0026344,utility provided information,bcov vaccine,19460.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,5526701.205,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026344
SRR25666023,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00013601_07302023,,,,,,SRR25666023,SRX21391538,,,wastewater,,,,USA: Ohio,,,,23027.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00013601_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0024899,utility provided information,bcov vaccine,24926.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,9985916.286,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024899
SRR25665865,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,3PE00000_07302023,,,,,,SRR25665865,SRX21391696,,,wastewater,,,,USA: Ohio,,,,85000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,3PE00000_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0024350,utility provided information,bcov vaccine,75200.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,80023605.11,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024350
SRR25666067,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,0PD00005_07302023,,,,,,SRR25666067,SRX21391494,,,wastewater,,,,USA: Ohio,,,,13572.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,0PD00005_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0024945,utility provided information,bcov vaccine,12555.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,4958889.437,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024945
SRR25665975,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,1PK00006601_07302023,,,,,,SRR25665975,SRX21391586,,,wastewater,,,,USA: Ohio,,,,125247.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,1PK00006601_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0025470,utility provided information,bcov vaccine,28926.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,48494910.36,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0025470
SRR25666052,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,0PQ00000_07302023,,,,,,SRR25666052,SRX21391509,,,wastewater,,,,USA: Ohio,,,,13169.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,0PQ00000_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0049999,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,12718983.59,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0049999
SRR25665958,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00007_07302023,,,,,,SRR25665958,SRX21391603,,,wastewater,,,,USA: Ohio,,,,25000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00007_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0025291,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,26857152.14,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0025291
SRR25665856,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,3PE00005_07302023,,,,,,SRR25665856,SRX21391470,,,wastewater,,,,USA: Ohio,,,,72000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,3PE00005_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0026093,utility provided information,bcov vaccine,30231.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,34466174.29,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026093
SRR25665979,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,1PK00003_07302023,,,,,,SRR25665979,SRX21391582,,,wastewater,,,,USA: Ohio,,,,46160.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,1PK00003_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0025381,utility provided information,bcov vaccine,43115.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,26573590.72,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0025381
SRR25665950,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,2PF00000_07302023,,,,,,SRR25665950,SRX21391611,,,wastewater,,,,USA: Ohio,,,,372208.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PF00000_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0027740,utility provided information,bcov vaccine,12050.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,342958307.6,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0027740
SRR25666017,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00017_07302023,,,,,,SRR25666017,SRX21391544,,,wastewater,,,,USA: Ohio,,,,6000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00017_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0020796,utility provided information,bcov vaccine,25642.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,4387292.258,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0020796
SRR25665887,,,,,,,,,,2023-07-30,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00035_07302023,,,,,,SRR25665887,SRX21391674,,,wastewater,,,,USA: Ohio,,,,44680.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00035_07302023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0052914,utility provided information,bcov vaccine,27115.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,34029239.35,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0052914
SRR25666065,,,,,,,,,,2023-07-27,,,,,,,,,,GenomeTrakr; LFFM ww project,0PD00009_07272023,,,,,,SRR25666065,SRX21391496,,,wastewater,,,,USA: Ohio,,,,8500.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,0PD00009_07272023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0023388,utility provided information,bcov vaccine,35284.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,3353874.841,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0023388
SRR25666046,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,1PC00013_07242023,,,,,,SRR25666046,SRX21391515,,,wastewater,,,,USA: Ohio,,,,4100.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,1PC00013_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0028215,utility provided information,bcov vaccine,244252.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,1760216.48,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0028215
SRR25665984,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,1PF00000601_07242023,,,,,,SRR25665984,SRX21391577,,,wastewater,,,,USA: Ohio,,,,226729.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,1PF00000601_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0024881,utility provided information,bcov vaccine,19587.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,147820330.2,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024881
SRR25665940,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,3PC00027_07242023,,,,,,SRR25665940,SRX21391621,,,wastewater,,,,USA: Ohio,,,,3500.0,0,raw wastewater,grab,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,3PC00027_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0020931,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,468785.3953,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0020931
SRR25665898,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00018_07242023,,,,,,SRR25665898,SRX21391663,,,wastewater,,,,USA: Ohio,,,,8655.0,0,raw wastewater,grab,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00018_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0020532,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,3263024.958,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0020532
SRR25665988,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,1PE00007_07242023,,,,,,SRR25665988,SRX21391573,,,wastewater,,,,USA: Ohio,,,,88710.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,1PE00007_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0027481,utility provided information,bcov vaccine,10239.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,88578635.75,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0027481
SRR25665974,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,2PA00014_07242023,,,,,,SRR25665974,SRX21391587,,,wastewater,,,,USA: Ohio,,,,1047.0,0,raw wastewater,grab,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PA00014_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0029394,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,252789.7989,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0029394
SRR25665970,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,2PB00013_07242023,,,,,,SRR25665970,SRX21391591,,,wastewater,,,,USA: Ohio,,,,4800.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PB00013_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0024694,utility provided information,bcov vaccine,26442.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,1525520.949,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024694
SRR25665873,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,3PD00031_07242023,,,,,,SRR25665873,SRX21391688,,,wastewater,,,,USA: Ohio,,,,29000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,3PD00031_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0025917,utility provided information,bcov vaccine,17810.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,8445253.69,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0025917
SRR25666028,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00011_07242023,,,,,,SRR25666028,SRX21391533,,,wastewater,,,,USA: Ohio,,,,36000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00011_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0026352,utility provided information,bcov vaccine,14408.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,25248696.6,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026352
SRR25665908,,,,,,,,,,2023-07-24,,,,,,,,,,GenomeTrakr; LFFM ww project,1PL00001_07242023,,,,,,SRR25665908,SRX21391653,,,wastewater,,,,USA: Ohio,,,,78509.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,1PL00001_07242023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0026590,utility provided information,bcov vaccine,14534.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,24635459.89,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026590
SRR25665937,,,,,,,,,,2023-07-23,,,,,,,,,,GenomeTrakr; LFFM ww project,3PD00002_07232023,,,,,,SRR25665937,SRX21391624,,,wastewater,,,,USA: Ohio,,,,12000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,3PD00002_07232023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0024767,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,5943096.501,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024767
SRR25665884,,,,,,,,,,2023-07-23,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00039_07232023,,,,,,SRR25665884,SRX21391677,,,wastewater,,,,USA: Ohio,,,,6700.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PD00039_07232023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0020001,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6018804.737,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0020001
SRR25665928,,,,,,,,,,2023-07-23,,,,,,,,,,GenomeTrakr; LFFM ww project,4PE00002601_07232023,,,,,,SRR25665928,SRX21391633,,,wastewater,,,,USA: Ohio,,,,24677.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,4PE00002601_07232023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,ARTIC V4.1,,,OH0136271,utility provided information,bcov vaccine,33937.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,12946108.3,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0136271
SRR25666056,,,,,,,,,,2023-07-23,,,,,,,,,,GenomeTrakr; LFFM ww project,0PE00000601_07232023,,,,,,SRR25666056,SRX21391505,,,wastewater,,,,USA: Ohio,,,,47500.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,0PE00000601_07232023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0028240,utility provided information,bcov vaccine,9944.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,17602164.8,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0028240
SRR25665877,,,,,,,,,,2023-07-23,,,,,,,,,,GenomeTrakr; LFFM ww project,3PD00029_07232023,,,,,,SRR25665877,SRX21391684,,,wastewater,,,,USA: Ohio,,,,20000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,3PD00029_07232023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0026948,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,16845082.44,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026948
SRR25665881,,,,,,,,,,2023-07-23,,,,,,,,,,GenomeTrakr; LFFM ww project,2PE00000_07232023,,,,,,SRR25665881,SRX21391680,,,wastewater,,,,USA: Ohio,,,,61000.0,24,raw wastewater,composite,Ohio Department of Health,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,oh,2PE00000_07232023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,ARTIC V4.1,,,OH0026069,utility provided information,bcov vaccine,6500.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,40390343.74,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026069
